IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.252.250,443,443,TRUE,FRA,Europe,Frankfurt,153,9.73
143.47.251.187,443,443,TRUE,FRA,Europe,Frankfurt,184,9.68
152.67.149.149,443,443,TRUE,FRA,Europe,Frankfurt,190,9.67
132.226.202.46,443,443,TRUE,FRA,Europe,Frankfurt,183,9.66
89.168.90.104,443,443,TRUE,FRA,Europe,Frankfurt,173,9.63
84.235.171.12,443,443,TRUE,FRA,Europe,Frankfurt,186,9.62
143.47.191.167,443,443,TRUE,AMS,Europe,Amsterdam,186,9.61
158.178.157.181,443,443,TRUE,FRA,Europe,Frankfurt,171,9.61
141.147.75.253,443,443,TRUE,FRA,Europe,Frankfurt,235,9.6
130.61.83.37,443,443,TRUE,FRA,Europe,Frankfurt,168,9.58
144.21.43.75,443,443,TRUE,FRA,Europe,Frankfurt,170,9.55
130.162.217.211,443,443,TRUE,FRA,Europe,Frankfurt,152,9.54
141.147.114.158,443,443,TRUE,FRA,Europe,Frankfurt,199,9.5
141.148.240.46,443,443,TRUE,FRA,Europe,Frankfurt,171,9.46
141.147.102.64,443,443,TRUE,FRA,Europe,Frankfurt,191,9.45
143.47.230.107,443,443,TRUE,FRA,Europe,Frankfurt,182,9.43
158.101.219.119,443,443,TRUE,FRA,Europe,Frankfurt,175,9.4
141.144.195.246,443,443,TRUE,FRA,Europe,Frankfurt,192,9.38
158.101.221.65,443,443,TRUE,FRA,Europe,Frankfurt,181,9.38
158.101.205.148,443,443,TRUE,FRA,Europe,Frankfurt,171,9.38
130.162.166.33,443,443,TRUE,FRA,Europe,Frankfurt,159,9.38
143.47.254.159,443,443,TRUE,FRA,Europe,Frankfurt,185,9.37
143.47.231.24,443,443,TRUE,FRA,Europe,Frankfurt,196,9.34
158.180.63.213,443,443,TRUE,FRA,Europe,Frankfurt,164,9.34
130.162.171.132,443,443,TRUE,FRA,Europe,Frankfurt,168,9.34
129.151.205.193,443,443,TRUE,ARN,Europe,Stockholm,197,9.33
141.147.101.96,443,443,TRUE,FRA,Europe,Frankfurt,207,9.31
130.61.23.77,443,443,TRUE,FRA,Europe,Frankfurt,166,9.3
141.147.104.66,443,443,TRUE,FRA,Europe,Frankfurt,170,9.29
141.147.61.116,2053,443,TRUE,FRA,Europe,Frankfurt,188,9.28
158.180.52.71,443,443,TRUE,FRA,Europe,Frankfurt,153,9.27
158.178.151.86,443,443,TRUE,FRA,Europe,Frankfurt,177,9.26
141.147.109.194,443,443,TRUE,FRA,Europe,Frankfurt,175,9.21
141.147.87.33,443,443,TRUE,FRA,Europe,Frankfurt,182,9.19
130.162.167.53,443,443,TRUE,FRA,Europe,Frankfurt,160,9.18
217.142.131.112,443,443,TRUE,SIN,Asia Pacific,Singapore,200,9.18
141.147.90.232,443,443,TRUE,FRA,Europe,Frankfurt,187,9.17
141.147.73.175,443,443,TRUE,FRA,Europe,Frankfurt,180,9.17
158.101.209.204,443,443,TRUE,FRA,Europe,Frankfurt,166,9.14
158.178.156.194,443,443,TRUE,FRA,Europe,Frankfurt,166,9.11
141.147.117.161,443,443,TRUE,FRA,Europe,Frankfurt,236,9.09
158.180.13.246,443,443,TRUE,FRA,Europe,Frankfurt,166,9.07
141.147.107.130,443,443,TRUE,FRA,Europe,Frankfurt,197,9.06
141.147.115.71,443,443,TRUE,FRA,Europe,Frankfurt,178,9.04
158.101.212.155,443,443,TRUE,FRA,Europe,Frankfurt,173,9.04
130.61.203.115,8443,443,TRUE,FRA,Europe,Frankfurt,160,9.01
130.162.214.245,443,443,TRUE,FRA,Europe,Frankfurt,194,8.99
143.47.235.139,443,443,TRUE,FRA,Europe,Frankfurt,173,8.97
130.162.221.211,443,443,TRUE,FRA,Europe,Frankfurt,159,8.96
140.238.123.74,443,443,TRUE,FRA,Europe,Frankfurt,189,8.96
141.148.225.142,443,443,TRUE,AMS,Europe,Amsterdam,190,8.94
141.147.74.182,443,443,TRUE,FRA,Europe,Frankfurt,189,8.93
141.147.92.29,443,443,TRUE,FRA,Europe,Frankfurt,168,8.88
130.162.179.210,443,443,TRUE,FRA,Europe,Frankfurt,185,8.88
141.145.206.16,8443,443,TRUE,CDG,Europe,Paris,153,8.85
158.180.33.20,443,443,TRUE,FRA,Europe,Frankfurt,164,8.83
152.70.54.23,443,443,TRUE,FRA,Europe,Frankfurt,190,8.82
150.230.47.17,443,443,TRUE,SJC,North America,San Jose,202,8.81
130.162.174.145,443,443,TRUE,FRA,Europe,Frankfurt,186,8.8
141.147.99.85,443,443,TRUE,FRA,Europe,Frankfurt,173,8.79
150.230.34.116,443,443,TRUE,SJC,North America,San Jose,192,8.79
141.147.88.149,443,443,TRUE,FRA,Europe,Frankfurt,218,8.79
141.147.81.185,443,443,TRUE,FRA,Europe,Frankfurt,168,8.78
146.235.199.98,443,443,TRUE,SJC,North America,San Jose,198,8.63
130.61.176.29,443,443,TRUE,FRA,Europe,Frankfurt,164,8.57
130.162.178.175,443,443,TRUE,FRA,Europe,Frankfurt,159,8.57
146.56.178.203,443,443,TRUE,SIN,Asia Pacific,Singapore,211,8.5
193.123.226.73,443,443,TRUE,SIN,Asia Pacific,Singapore,222,8.46
152.70.61.70,443,443,TRUE,FRA,Europe,Frankfurt,168,8.45
152.70.239.14,443,443,TRUE,SIN,Asia Pacific,Singapore,212,8.43
192.9.246.112,8443,443,TRUE,SJC,North America,San Jose,198,8.38
89.168.84.1,443,443,TRUE,FRA,Europe,Frankfurt,179,8.36
152.70.49.97,443,443,TRUE,FRA,Europe,Frankfurt,172,8.32
152.67.151.76,443,443,TRUE,FRA,Europe,Frankfurt,200,8.29
152.70.117.136,443,443,TRUE,SJC,North America,San Jose,203,8.25
192.9.138.241,443,443,TRUE,SJC,North America,San Jose,175,8.24
158.180.57.243,443,443,TRUE,FRA,Europe,Frankfurt,178,8.21
146.56.147.47,443,443,TRUE,SIN,Asia Pacific,Singapore,218,8.17
165.1.79.60,8443,443,TRUE,SJC,North America,San Jose,205,8.12
144.24.173.250,2053,443,TRUE,FRA,Europe,Frankfurt,170,8.03
130.61.109.6,8443,443,TRUE,FRA,Europe,Frankfurt,180,7.9
